sk_date,bk_product,idx_value
20060614,000300,1283.88
20060614,000852,1218.234
20060614,000905,1347.878
20060614,000906,1293.256
20060614,CCFI,1293.7043
20060614,h11001,112.87
20060615,000300,1285.385
20060615,000852,1227.781
20060615,000905,1352.336
20060615,000906,1295.577
20060615,CCFI,1316.5855
20060615,h11001,112.96
20060616,000300,1318.01
20060616,000852,1254.813
20060616,000905,1382.41
20060616,000906,1327.273
20060616,CCFI,1335.6177
20060616,h11001,112.81
20060619,000300,1334.893
20060619,000852,1268.851
20060619,000905,1397.995
20060619,000906,1343.681
20060619,CCFI,1296.8459
20060619,h11001,112.65
20060620,000300,1338.223
20060620,000852,1285.232
20060620,000905,1414.905
20060620,000906,1350.785
20060620,CCFI,1303.9333
20060620,h11001,112.58
20060621,000300,1333.532
20060621,000852,1278.463
20060621,000905,1410.502
20060621,000906,1346.205
20060621,CCFI,1309.9525
20060621,h11001,112.57
20060622,000300,1331.553
20060622,000852,1280.871
20060622,000905,1411.278
20060622,000906,1345.009
20060622,CCFI,1347.7926
20060622,h11001,112.5
20060623,000300,1339.446
20060623,000852,1297.753
20060623,000905,1430.513
20060623,000906,1356.019
20060623,CCFI,1298.9417
20060623,h11001,112.42
20060626,000300,1363.413
20060626,000852,1319.451
20060626,000905,1457.137
20060626,000906,1380.57
20060626,CCFI,1300.2938
20060626,h11001,112.49
20060627,000300,1363.896
20060627,000852,1325.167
20060627,000905,1464.686
20060627,000906,1383.024
20060627,CCFI,1335.3513
20060627,h11001,112.6
20060628,000300,1362.885
20060628,000852,1326.392
20060628,000905,1461.793
20060628,000906,1381.493
20060628,CCFI,1304.9624
20060628,h11001,112.69
20060629,000300,1395.124
20060629,000852,1349.111
20060629,000905,1488.164
20060629,000906,1411.875
20060629,CCFI,1305.2812
20060629,h11001,112.69
20060630,000300,1393.963
20060630,000852,1336.66
20060630,000905,1485.995
20060630,000906,1410.44
20060630,CCFI,1354.2853
20060630,h11001,112.73
20060703,000300,1420.328
20060703,000852,1356.294
20060703,000905,1514.068
20060703,000906,1437.108
20060703,CCFI,1403.6558
20060703,h11001,112.71
20060704,000300,1411.013
20060704,000852,1348.165
20060704,000905,1508.839
20060704,000906,1428.958
20060704,CCFI,1409.18
20060704,h11001,112.73
20060705,000300,1393.009
20060705,000852,1345.327
20060705,000905,1497.656
20060705,000906,1412.919
20060705,CCFI,1422.443
20060705,h11001,112.71
20060706,000300,1418.675
20060706,000852,1382.228
20060706,000905,1539.177
20060706,000906,1442.737
20060706,CCFI,1406.1938
20060706,h11001,112.71
20060707,000300,1410.429
20060707,000852,1383.647
20060707,000905,1541.253
20060707,000906,1437.346
20060707,CCFI,1457.2279
20060707,h11001,112.79
20060710,000300,1412.124
20060710,000852,1405.093
20060710,000905,1550.04
20060710,000906,1440.959
20060710,CCFI,1466.3024
20060710,h11001,112.82
20060711,000300,1418.575
20060711,000852,1417.302
20060711,000905,1561.843
20060711,000906,1448.826
20060711,CCFI,1487.586
20060711,h11001,112.82
20060712,000300,1419.199
20060712,000852,1415.931
20060712,000905,1562.06
20060712,000906,1449.336
20060712,CCFI,1515.0423
20060712,h11001,112.87
20060713,000300,1346.088
20060713,000852,1314.4
20060713,000905,1459.778
20060713,000906,1368.743
20060713,CCFI,1482.1007
20060713,h11001,112.93
20060714,000300,1357.129
20060714,000852,1325.635
20060714,000905,1470.467
20060714,000906,1379.621
20060714,CCFI,1473.435
20060714,h11001,112.88
20060717,000300,1372.254
20060717,000852,1351.158
20060717,000905,1494.793
20060717,000906,1397.154
20060717,CCFI,1493.641
20060717,h11001,112.95
20060718,000300,1373.416
20060718,000852,1362.285
20060718,000905,1506.592
20060718,000906,1401.198
20060718,CCFI,1443.1083
20060718,h11001,112.96
20060719,000300,1336.644
20060719,000852,1337.526
20060719,000905,1472.354
20060719,000906,1365.326
20060719,CCFI,1386.5873
20060719,h11001,112.93
20060720,000300,1345.194
20060720,000852,1350.853
20060720,000905,1484.409
20060720,000906,1374.77
20060720,CCFI,1388.2584
20060720,h11001,112.8
20060721,000300,1356.033
20060721,000852,1352.62
20060721,000905,1493.036
20060721,000906,1384.949
20060721,CCFI,1352.102
20060721,h11001,112.73
20060724,000300,1358.122
20060724,000852,1350.752
20060724,000905,1496.607
20060724,000906,1387.425
20060724,CCFI,1332.1611
